lat,lon,name
49.268538,-123.185205,Eastbound W 4th Ave @ Alma St
49.268214,-123.18585,Southbound Alma St @ W 4th Ave
49.266642,-123.185897,Southbound Alma St @ W 6th Ave
49.26367,-123.186028,Southbound Alma St @ W 10 Ave
49.261267,-123.186069,Southbound Alma St @ W 12 Ave
49.259981,-123.184374,Southbound Dunbar Diversion @ W 14 Ave
49.258657,-123.184116,Southbound Dunbar St @ W 15 Ave
49.257067,-123.185245,Southbound Dunbar St @ W 17 Ave
49.253446,-123.18526,Southbound Dunbar St @ W 21 Ave
49.249684,-123.185302,Southbound Dunbar St @ W King Edward Ave
49.247813,-123.185322,Southbound Dunbar St @ W 27 Ave
49.245928,-123.185332,Southbound Dunbar St @ W 29 Ave
49.243962,-123.185351,Southbound Dunbar St @ W 31 Ave
49.242056,-123.185368,Southbound Dunbar St @ W 33 Ave
49.240149,-123.185397,Southbound Dunbar St @ W 35 Ave
49.238349,-123.185425,Southbound Dunbar St @ W 37 Ave
49.234687,-123.181639,Eastbound W 41 Ave @ Collingwood St
49.234696,-123.178303,Eastbound W 41 Ave @ Blenheim St
49.234677,-123.172505,Eastbound W 41 Ave @ Carnarvon St
49.234665,-123.166968,Eastbound W 41 Ave @ Macdonald St
49.234632,-123.16364,Eastbound W 41 Ave @ Elm St
49.234588,-123.160946,Eastbound W 41 Ave @ Balsam St
49.234552,-123.158131,Eastbound W 41 Ave @ Yew St
49.234437,-123.151616,Eastbound W 41 Ave @ Maple St
49.234394,-123.148854,Eastbound W 41 Ave @ Cypress St
49.234351,-123.145952,Eastbound W 41 Ave @ Wiltshire St
49.2343,-123.142893,Eastbound W 41 Ave @ Adera St
49.234268,-123.140768,Eastbound W 41 Ave @ Granville St
49.268471,-123.181214,Eastbound W 4th Ave @ Collingwood St
49.268274,-123.167779,Eastbound W 4th Ave @ Macdonald St
49.268236,-123.164123,Eastbound W 4th Ave @ Trafalgar St
49.268115,-123.156884,Eastbound W 4th Ave @ Vine St
49.268041,-123.152371,Eastbound W 4th Ave @ Arbutus St
49.26793,-123.145082,Eastbound W 4th Ave @ Burrard St
49.267853,-123.140145,Eastbound W 4th Ave @ Fir St
49.266843,-123.137905,Westbound W 5th Ave @ Granville St
49.286035,-123.12037,Burrard Station @ Bay 2
49.287073,-123.119204,Eastbound W Pender St @ Thurlow St
49.282981,-123.111441,Northbound Homer St @ W Pender St
49.28481,-123.112535,Northbound Seymour St @ W Hastings St
49.282211,-123.109799,Southbound Cambie St @ W Hastings St
49.275788,-123.117719,Eastbound Nelson St @ Cambie St
49.264477,-123.114982,Southbound Cambie St @ W 7th Ave
49.260113,-123.115144,Southbound Cambie St @ W 12 Ave
49.256555,-123.115252,Southbound Cambie St @ W 16 Ave
49.254674,-123.115282,Southbound Cambie St @ W 18 Ave
49.252766,-123.115379,Southbound Cambie St @ W 20 Ave
49.250985,-123.115447,Southbound Cambie St @ W 22 Ave
