name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating
"Luxury 2Bd, 2Offices, amazing views, gym and pool",https://www.airbnb.com/rooms/1393599,"Vancouver, British Columbia, Canada",49.27392665039039,-123.10068941104272,200.0,Entire home/apt,
Stunning 1 Bedroom Laneway,https://www.airbnb.com/rooms/1398788,"Vancouver, British Columbia, Canada",49.23968,-123.16762,134.0,Entire home/apt,4.9
Luxury 2 BDR With Wrap Around Deck,https://www.airbnb.com/rooms/1399744,"Vancouver, British Columbia, Canada",49.26964,-123.11064,450.0,Entire home/apt,4.75
Renovated Character Home - 3 Bdrm,https://www.airbnb.com/rooms/1417881,"Vancouver, British Columbia, Canada",49.26732,-123.06827,349.0,Entire home/apt,4.86
UBC CAMPUS cozy student bdrm apt share with host,https://www.airbnb.com/rooms/1442216,"Vancouver, British Columbia, Canada",49.25826,-123.23352,162.0,Private room,4.86
One Bedroom & Secured Underground Parking,https://www.airbnb.com/rooms/1466647,"Vancouver, British Columbia, Canada",49.28164,-123.11006,199.0,Entire home/apt,4.23
244 -2 BEDROOM. WATER VIEW! 6 MONTH EXTENDED STAY,https://www.airbnb.com/rooms/1502887,"Vancouver, British Columbia, Canada",49.29014,-123.12716,129.0,Entire home/apt,4.8
Modern new room with private entry!,https://www.airbnb.com/rooms/1507975,"Vancouver, British Columbia, Canada",49.24882,-123.09121,81.0,Private room,4.72
"114 Studio ""West of Denman""",https://www.airbnb.com/rooms/1525113,"Vancouver, British Columbia, Canada",49.29101,-123.14085,76.0,Entire home/apt,4.42
Deluxe Kitsilano Beach Waterfront 2 Bedroom House,https://www.airbnb.com/rooms/1565861,"Vancouver, British Columbia, Canada",49.27383,-123.15362,450.0,Entire home/apt,4.92
Lakeside Cottage with Stunning View,https://www.airbnb.com/rooms/1610084,"Vancouver, British Columbia, Canada",49.25936,-123.06131,172.0,Entire home/apt,4.87
Private top floor on vibrant Main St,https://www.airbnb.com/rooms/1623556,"Vancouver, British Columbia, Canada",49.25259,-123.09292,92.0,Entire home/apt,4.67
Garden Suite-Quiet/Private&Central,https://www.airbnb.com/rooms/1629480,"Vancouver, British Columbia, Canada",49.25225,-123.10756,85.0,Entire home/apt,4.82
Amazing 2000sq ft Downtown loft 3 patios + Parking,https://www.airbnb.com/rooms/1657214,"Vancouver, British Columbia, Canada",49.28167,-123.10984,250.0,Entire home/apt,5.0
Beautiful Kitsilano Apartment..,https://www.airbnb.com/rooms/1703616,"Vancouver, British Columbia, Canada",49.26548,-123.14579,156.0,Entire home/apt,4.0
2 Bedroom Garden Flat - Main Street,https://www.airbnb.com/rooms/1717967,"Vancouver, British Columbia, Canada",49.24778,-123.09867,186.0,Entire home/apt,4.92
DT Ocean view with luxury amenities and parking,https://www.airbnb.com/rooms/1733307,"Vancouver, British Columbia, Canada",49.27781,-123.10637,288.0,Entire home/apt,4.9
SoMa Suite - Main Street Cool,https://www.airbnb.com/rooms/1768817,"Vancouver, British Columbia, Canada",49.24489,-123.10302,105.0,Entire home/apt,4.87
Yaletown high rise studio,https://www.airbnb.com/rooms/1778529,"Vancouver, British Columbia, Canada",49.27695,-123.11922,93.0,Entire home/apt,4.46
Film Industry loves this house! 5 min to VGH,https://www.airbnb.com/rooms/1820919,"Vancouver, British Columbia, Canada",49.2585,-123.11479,395.0,Entire home/apt,4.92
Cozy Retreat - Strathcona,https://www.airbnb.com/rooms/1830733,,49.27866,-123.08627,125.0,Entire home/apt,4.9
Main Street loft w/ rooftop terrace and view!,https://www.airbnb.com/rooms/1850984,"Vancouver, British Columbia, Canada",49.26772,-123.0975,300.0,Entire home/apt,4.77
156 One Bedroom in Downtown at The Electra,https://www.airbnb.com/rooms/1869071,"Vancouver, British Columbia, Canada",49.28216,-123.12438,87.0,Entire home/apt,4.75
Tinseltown Apartment,https://www.airbnb.com/rooms/1898584,,49.27915,-123.10642,79.0,Entire home/apt,4.74
Commercial Drive Garden Suite,https://www.airbnb.com/rooms/1932171,"Vancouver, British Columbia, Canada",49.26861,-123.06666,97.0,Entire home/apt,4.64
Stylish and Modern 2Bed West End Suite!,https://www.airbnb.com/rooms/1950844,,49.28954,-123.13711,237.0,Entire home/apt,4.58
"Charming ""Kitsilano Family Place""",https://www.airbnb.com/rooms/1995592,"Vancouver, British Columbia, Canada",49.263252,-123.164825,110.0,Private room,4.6
GREAT SUITE w GARDEN PATIO!  CENTRALLY LOCATED!!,https://www.airbnb.com/rooms/2003897,"Vancouver, British Columbia, Canada",49.26263,-123.11627,130.0,Entire home/apt,5.0
Amazing View from a Modern Loft,https://www.airbnb.com/rooms/2008047,,49.28519,-123.09872,160.0,Entire home/apt,4.83
Sunny family-friendly house in Kits,https://www.airbnb.com/rooms/2011559,"Vancouver, British Columbia, Canada",49.26057,-123.15881,575.0,Entire home/apt,4.89
Experience Vancouver on the Drive!,https://www.airbnb.com/rooms/2017305,"Vancouver, British Columbia, Canada",49.26411,-123.06803,189.0,Entire home/apt,4.64
Beautiful Kitsilano - Covid-19 Safe,https://www.airbnb.com/rooms/2033952,"Vancouver, British Columbia, Canada",49.26715,-123.15325,99.0,Entire home/apt,4.67
"Kitsilano Point, very clean, welcoming and bright",https://www.airbnb.com/rooms/2041582,"Vancouver, British Columbia, Canada",49.2753,-123.14721,120.0,Entire home/apt,4.96
Yaletown 1BD Condo @ Homer & Robson,https://www.airbnb.com/rooms/2042431,"Vancouver, British Columbia, Canada",49.28005,-123.11659,150.0,Entire home/apt,4.89
