stop_no,stop_name,line_con,Longitude,Latitude,x,y
58136,Southbound Granville St @ W King Edward Ave,010; 025; N10,-123.139224,49.248838,-13707795.712358853,6317189.956622582
58143,Kootenay Loop @ Bay 8,028; 130; 222; N35; R5,-123.024952,49.281026,-13695075.011506924,6322680.852966787
58144,Northbound Granville St @ Smithe St,004; 007; 010; 014; 016; 050,-123.120537,49.280784,-13705715.4850344,6322639.557229566
58145,Westbound Kingsway @ E Broadway,008; 019; N19; N8,-123.099681,49.263296,-13703393.805734416,6319655.879234594
58160,Northbound Smith Ave @ Sunset St,028,-123.019709,49.250063,-13694491.363416694,6317398.86174874
58169,Eastbound Keefer Place @ Taylor St,023,-123.105758,49.279326,-13704070.294279965,6322390.76323316
58183,Eastbound SE Marine Dr @ 2600 Block,100,-123.053335,49.207204,-13698234.592614109,6310092.990310811
58202,Waterfront Station @ Bay 1,044; R5,-123.112372,49.285803,-13704806.561392069,6323496.058652843
58211,Eastbound Vulcan Way @ No. 5 Rd,407,-123.09077,49.193788,-13702401.837751957,6307807.361008447
58214,Eastbound Vulcan Way @ Viking Way,405,-123.072392,49.197842,-13700356.008150157,6308497.959115708
58218,Southbound No. 6 Rd @ 2500 Block,405,-123.069288,49.19409,-13700010.472450737,6307858.804698287
58228,Southbound No. 6 Rd @ Vulcan Way,405,-123.069313,49.198222,-13700013.255438002,6308562.694942909
58235,Southbound Abbott St @ W Pender St,050,-123.107725,49.28074,-13704289.259718357,6322632.048935481
58239,Westbound W Broadway @ Granville St,099,-123.139771,49.26373,-13707856.604120316,6319729.912426131
58249,Joyce Station @ Bay 6,026; 027,-123.032261,49.237996,-13695888.645665132,6315341.244264796
58254,Eastbound W Georgia St @ Bidwell St,240; 241; 246; 247; 250; 253; 254; N24,-123.131834,49.291212,-13706973.06132189,6324419.211896234
58268,Eastbound W 41 Ave @ Oak St,041,-123.127728,49.233818,-13706515.983492691,6314628.945264933
58280,Westbound Terminal Ave @ 300 Block,022,-123.096638,49.272363,-13703055.06052393,6321202.69415506
58281,Westbound E 49 Ave @ Frontenac St,026; 049,-123.026533,49.222475,-13695251.007621868,6312695.403272671
58283,Eastbound E Hastings St @ McLean Dr,014; 016; 020; N20; N35,-123.073421,49.281191,-13700470.55590618,6322709.009267441
58284,Northbound Kerr St @ E 54 Ave,026,-123.041215,49.219585,-13696885.400385696,6312202.841197992
58286,Southbound Cambie St @ W 29 Ave,015; N15,-123.115868,49.245383,-13705195.734331883,6316600.786823549
58290,Southbound Nanaimo St @ Grandview Hwy,007,-123.056751,49.257321,-13698614.85999466,6318636.709657007
58299,Westbound W 4th Ave @ Vine St,004; 007; 014; 044; 084,-123.158111,49.268301,-13709898.203581462,6320509.688651528
58302,Southbound Victoria Dr @ E 38 Ave,020; N20,-123.065593,49.235445,-13699599.146932254,6314906.3221309865
58307,Southbound Main St @ E 18 Ave,003,-123.100959,49.254339,-13703536.072043648,6318128.109169227
58312,Northbound Nootka St @ E 29 Ave,016,-123.041719,49.244934,-13696941.505409054,6316524.2233556025
58313,Northbound Granville St @ W Pender St,004; 007; 010; 014; 016; 017; 020; 050,-123.114994,49.284493,-13705098.441096932,6323272.496377029
58321,Southbound Howe St @ Dunsmuir St,004; 007; 010; 014; 016; 050,-123.11788,49.284055,-13705419.709147358,6323197.7493990315
58327,Commercial-Broadway Station @ Bay 3,020; N20,-123.069636,49.262699,-13700049.211633531,6319554.042014248
58337,Westbound Hastings St @ Holdom Ave,129,-122.981804,49.280431,-13690271.798118174,6322579.320422545
58342,Northbound Holdom Ave @ Lougheed Hwy,129; 133; 136,-122.981032,49.264688,-13690185.859471282,6319893.333619361
58343,Southbound Holdom Ave @ Lougheed Hwy,129; 133; 136,-122.981313,49.264489,-13690217.140248196,6319859.386784739
58344,Gilmore Station @ Bay 1,028; 129; N9,-123.014187,49.264851,-13693876.657188533,6319921.13942007
58345,Gilmore Station @ Bay 3,028,-123.015179,49.26457,-13693987.0861234,6319873.204324019
58346,Gilmore Station @ Bay 2,129,-123.014452,49.264143,-13693906.156853594,6319800.363971099
58381,Southbound Holdom Ave @ Halifax St,129,-122.981243,49.267723,-13690209.34788384,6320411.0824612
58384,Westbound Goring St @ Douglas Rd,133,-122.98604,49.263133,-13690743.347481174,6319628.074310119
58385,Eastbound Goring St @ Douglas Rd,133,-122.986025,49.262985,-13690741.677688813,6319602.828200578
58386,Westbound Lougheed Hwy @ Gilmore Ave,028; N9,-123.014957,49.266208,-13693962.373196444,6320152.630541148
58387,Southbound Gilmore Ave @ 2nd Ave,129,-123.014362,49.267781,-13693896.138099425,6320420.977147879
58388,Northbound Gilmore Ave @ Halifax St,129,-123.014167,49.268646,-13693874.430798717,6320568.545838166
58390,Westbound Henning Dr @ 3800 Block,028,-123.019214,49.264012,-13694436.260268752,6319778.017291289
58391,Eastbound Henning Dr @ 3800 Block,028; N9,-123.018496,49.263862,-13694356.33287436,6319752.429562832
58392,Eastbound Henning Dr @ Boundary Rd,028; N9,-123.022725,49.263596,-13694827.103000926,6319707.054182305
58401,Renfrew Station @ Bay 1,016,-123.044439,49.25903,-13697244.29442401,6318928.205143129
58402,Southbound Commercial Dr @ N Grandview Hwy,020; N20,-123.069903,49.263232,-13700078.933937572,6319644.9619526835
58428,Eastbound Hastings St @ Gilmore Ave,129; 130; 131; 132; 160; N35; R5,-123.013446,49.280953,-13693794.169445856,6322668.395966859
58491,Northbound Commercial Dr @ N Grandview Hwy,009; 099,-123.069582,49.26342,-13700043.200381028,6319677.031508594
58499,Eastbound E Broadway @ Clark Dr,099,-123.076191,49.262263,-13700778.91089568,6319479.669211331
58501,Broadway-City Hall Station @ Bay 4,099; N9,-123.116526,49.263349,-13705268.982556826,6319664.920119399
58502,Westbound W Broadway @ Willow St,099,-123.12286,49.263437,-13705974.080211513,6319679.931421267
58504,Westbound W Georgia St @ Granville St,250; 253; 254,-123.117661,49.28232,-13705395.330178875,6322901.66914929
58510,Southbound Main St @ E 5th Ave,008; 019; N19; N8,-123.100973,49.266106,-13703537.63051652,6320135.230102948
58529,Eastbound W Pender St @ Abbott St,019; 022; N19,-123.106976,49.280892,-13704205.88141975,6322657.9867070895
58588,Southbound Granville St @ Nanton Ave,010; N10,-123.139289,49.247111,-13707802.948125755,6316895.451832973
58593,Northbound Granville St @ Drake St,004; 007; 010; 014; 016; 050,-123.127092,49.276487,-13706445.184296548,6321906.335670355
58598,Southbound Gilmore Ave @ Douglas Rd,129,-123.014355,49.269887,-13693895.358862989,6320780.264512545
58599,Northbound Gamma Ave @ Albert St,132,-122.99465,49.282099,-13691701.808296904,6322863.955928851
58605,Eastbound Sanderson Way @ Gilmore Way,025,-123.008625,49.248286,-13693257.49818074,6317095.823108802
58606,Northbound Wesbrook Mall @ 2100 Block,025; 033; 049,-123.243949,49.264762,-13719453.646032177,6319905.957100319
58611,Eastbound Marine Dr @ 5500 Block,100; 148,-122.983643,49.206193,-13690476.514661744,6309920.728752801
58613,Westbound E Broadway @ Fraser St,008; 009; 099; N8; N9,-123.09009,49.262593,-13702326.140498215,6319535.96049253
58614,Eastbound E Broadway St @ Fraser St,009; 099; N9,-123.088379,49.26236,-13702135.672849469,6319496.215397348
58620,Eastbound N Grandview Hwy @ Commercial Dr,099,-123.068542,49.263172,-13699927.4281106,6319634.727013751
