stop_no,stop_name,line_con,Point,boundary
59927,Northbound Quebec St @ National Ave,023,"[-123.101804, 49.275246]",Downtown
59928,Eastbound National Ave @ Main St,019,"[-123.09933400000001, 49.274846000000004]",Strathcona
59930,Southbound Hudson St @ SW Marine Dr,010,"[-123.134919, 49.202765]",Marpole
59991,Westbound Expo Blvd @ Abbott St,023,"[-123.108015, 49.278791]",Downtown
59992,Northbound Pat Quinn Way @ Expo Blvd,023,"[-123.107518, 49.278392]",Downtown
60006,Eastbound W Broadway @ Columbia St,009; N9,"[-123.10905, 49.263020000000004]",Mount Pleasant
60014,Westbound Expo Blvd @ Nelson St,023,"[-123.116234, 49.274765]",Downtown
60020,Eastbound E 49 Ave @ Doman St,049,"[-123.036296, 49.224634]",Killarney
60022,Westbound E 49 Ave @ Doman St,049,"[-123.036952, 49.224782]",Killarney
60023,Southbound Arlington St @ E 49 Ave,026,"[-123.02888700000001, 49.222808]",Killarney
60024,Southbound Champlain Cres @ E 54 Ave,026,"[-123.03250600000001, 49.219811]",Killarney
60025,Northbound Champlain Cres @ E 54 Ave,026,"[-123.032299, 49.219894000000004]",Killarney
60102,Southbound Cambie St @ Nelson St,006,"[-123.118424, 49.275952000000004]",Downtown
60103,Northbound Cambie St @ Nelson St,006,"[-123.11774799999999, 49.276256]",Downtown
60104,Northbound Cambie St @ Robson St,006,"[-123.114655, 49.278318]",Downtown
60116,Eastbound Davie St @ Granville St,006,"[-123.125976, 49.276918]",Downtown
60197,Southbound Burrard St @ Harwood St,002; N22,"[-123.13126499999998, 49.277837]",West End
60208,29th Avenue Station @ Bay 4,026,"[-123.04446100000001, 49.244434999999996]",Renfrew-Collingwood
60223,Northbound Fraser St @ E 20 Ave,008; N8,"[-123.089851, 49.253265999999996]",Kensington-Cedar Cottage
60251,Eastbound SW Marine Dr @ Hudson St,010,"[-123.13555600000001, 49.20317]",Marpole
60269,Northbound Burrard St @ Smithe St,002; N22,"[-123.12401899999999, 49.282359]",Downtown
60277,Northbound Seymour St @ Robson St,004; 007; 010; 014; 016; 017; 020; 050; N17,"[-123.11823999999999, 49.28102]",Downtown
60302,Northbound Cambie St @ Dunsmuir St,005; 006,"[-123.111842, 49.280182]",Downtown
60307,Broadway-City Hall Station @ Bay 3,015; 017; N15,"[-123.115153, 49.261616]",Fairview
60314,Nanaimo Station @ Bay 1,025,"[-123.056509, 49.248336]",Renfrew-Collingwood
60335,Eastbound E King Edward Ave @ Ontario St,025,"[-123.104633, 49.248771000000005]",Riley Park
60336,Eastbound E Cordova St @ Heatley Ave,004; 007; 209; 210; 211; 214,"[-123.089076, 49.28202]",Strathcona
60342,Southbound Cambie St @ W Georgia St,006; 017; N15,"[-123.112876, 49.279676]",Downtown
60348,Eastbound W Georgia St @ Homer St,240; 241; 246; 247; 250; 253; 254; N24,"[-123.11483700000001, 49.280236]",Downtown
60351,Southbound Station St @ National Ave,019,"[-123.09865, 49.273853]",Strathcona
60359,Northbound Macdonald St @ W 13 Ave,002; N22,"[-123.16823899999999, 49.260225]",Kitsilano
60375,Westbound Great Northern Way @ Carolina Street,084,"[-123.091178, 49.266868]",Strathcona
60385,Westbound W 41 Ave @ East Blvd,041; R4,"[-123.15478999999999, 49.234671999999996]",Shaughnessy
60386,Eastbound W 41 Ave @ East Blvd,041; R4,"[-123.154407, 49.234483000000004]",Kerrisdale
60391,Eastbound Great Northern Way @ Carolina St,084,"[-123.090557, 49.26668]",Mount Pleasant
60393,Dunbar Loop @ Bay 7,R4,"[-123.18426799999999, 49.234694]",Dunbar-Southlands
60394,Dunbar Loop @ Bay 4,049,"[-123.186649, 49.234836]",Dunbar-Southlands
60395,Westbound W 41 Ave @ Carnarvon St,002; 041; N22,"[-123.174148, 49.234826]",Dunbar-Southlands
60396,Eastbound W 41 Ave @ Carnarvon St,002; 041; N22,"[-123.17349499999999, 49.23467]",Kerrisdale
60397,Westbound W 41 Ave @ Oak St,041,"[-123.129021, 49.234095]",Shaughnessy
60399,Eastbound E 41 Ave @ Main St,041,"[-123.10244099999998, 49.232982]",Sunset
60400,Westbound E 41 Ave @ Fraser St,008; 041,"[-123.091581, 49.233019]",Riley Park
60402,Westbound E 41 Ave @ Victoria Dr,020; 041,"[-123.066544, 49.232733]",Kensington-Cedar Cottage
60403,Southbound Joyce St @ Kingsway,019; 026; 041,"[-123.03658300000001, 49.233624]",Renfrew-Collingwood
60404,Northbound Joyce St @ Church St,026; 027; 041,"[-123.03528, 49.234646000000005]",Renfrew-Collingwood
60408,Eastbound W 12th Ave @ Arbutus St,016,"[-123.15211299999999, 49.260921999999994]",Kitsilano
60409,Eastbound W 12th Ave @ Cypress St,016,"[-123.147849, 49.260863]",Kitsilano
60410,Westbound W 12th Ave @ Cypress St,016,"[-123.14861200000001, 49.260992]",Kitsilano
60411,Eastbound W 12 Ave @ Pine St,016,"[-123.14312199999999, 49.260785999999996]",Fairview
60412,Westbound W 12th Ave @ Pine St,016,"[-123.143876, 49.260917]",Fairview
60413,Eastbound W 12 Ave @ Oak St,017,"[-123.12603999999999, 49.260482]",Fairview
60414,Eastbound W 12th Ave @ Laurel St,017,"[-123.12392, 49.260473]",Fairview
60415,Westbound W 12th Ave @ Laurel St,017,"[-123.12466699999999, 49.260622]",Fairview
60416,Eastbound W 12th Ave @ Heather St,017,"[-123.120306, 49.260394]",Fairview
60417,Westbound W 12th Ave @ Heather St,017,"[-123.12041, 49.260557]",Fairview
60418,Westbound W 12th Ave @ Cambie St,017,"[-123.11559, 49.260482]",Fairview
60423,Eastbound Robson St @ Cardero St,005,"[-123.132046, 49.2892]",West End
60431,Westbound W 41 Ave @ Churchill St,041,"[-123.141226, 49.234437]",Shaughnessy
60433,Westbound Kingsway @ Gladstone,019; 025; N19,"[-123.06146399999999, 49.24353]",Kensington-Cedar Cottage
60472,Eastbound Sawmill Cres @ River District Crossing,031,"[-123.030484, 49.205803]",Killarney
60492,Eastbound W Cordova St @ Carrall St,003; 004; 007; 008; 209; 210; 211; 214; N8,"[-123.104634, 49.282441999999996]",Downtown
60494,Eastbound W Broadway @ Granville St,099,"[-123.139857, 49.263505]",Fairview
60495,Southbound Arbutus St @ 4200 Block,016,"[-123.153504, 49.248095]",Arbutus-Ridge
60498,Westbound E Hastings St @ Heatley Ave,014; 016; 020; N20; N35,"[-123.09002199999999, 49.281259999999996]",Strathcona
60502,Northbound Denman St @ Comox St,005,"[-123.13934499999999, 49.288812]",West End
60504,Eastbound Robson St @ Broughton St,005,"[-123.129709, 49.287679]",West End
60506,Eastbound Pacific St @ Seymour Mews,023,"[-123.12871799999999, 49.274423]",Downtown
