name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating,entertainment,food
152 Studio (no Bedroom),https://www.airbnb.com/rooms/994969,"Vancouver, British Columbia, Canada",49.28006,-123.12673,79.0,Entire home/apt,4.5,180,693694
159 2 BEDROOM/ 2 FULL BATH-ideal for sharing!,https://www.airbnb.com/rooms/995174,,49.28837,-123.12766,110.0,Entire home/apt,4.62,0,121659
S2-LUXURIOUS 2-BR/2-Baths/2-Balcony,https://www.airbnb.com/rooms/1007137,,49.27804,-123.12531,280.0,Entire home/apt,4.0,250,1496264
S1-VIBRANT DOWNTOWN 1-BR + den!,https://www.airbnb.com/rooms/1007144,,49.27828,-123.12671,180.0,Entire home/apt,5.0,174,989575
comfy stay in clean victorian house,https://www.airbnb.com/rooms/1012385,"Vancouver, British Columbia, Canada",49.25674,-123.0874,120.0,Entire home/apt,4.78,0,0
"Light-filled, self-contained studio in Strathcona",https://www.airbnb.com/rooms/1015935,,49.2804,-123.08908,115.0,Entire home/apt,4.8,0,0
Deluxe Junior One Bedroom (2 Beds),https://www.airbnb.com/rooms/1021607,"Vancouver, British Columbia, Canada",49.27747,-123.12098,75.0,Entire home/apt,4.84,147,1697567
Yaletown Deluxe Studio Condominium,https://www.airbnb.com/rooms/1021669,"Vancouver, British Columbia, Canada",49.27703,-123.12692,75.0,Entire home/apt,4.75,47,873863
Artist's Character home in 'hip' Commercial Drive,https://www.airbnb.com/rooms/1032892,"Vancouver, British Columbia, Canada",49.27241,-123.06332,95.0,Private room,4.83,0,0
Quiet space minutes from downtown!,https://www.airbnb.com/rooms/1061895,"Vancouver, British Columbia, Canada",49.24166,-123.0407,93.0,Private room,4.77,0,0
136 Lord Stanley Great price!,https://www.airbnb.com/rooms/1109821,"Vancouver, British Columbia, Canada",49.29258,-123.13446,72.0,Entire home/apt,4.45,0,33382
