name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating
Bright & Modern Kitsilano Executive Townhome,https://www.airbnb.com/rooms/7398459,"Vancouver, British Columbia, Canada",49.26463,-123.1633,200.0,Entire home/apt,4.67
Little House - Kitsilano Point Grey,https://www.airbnb.com/rooms/7432239,"Vancouver, British Columbia, Canada",49.26405,-123.18769,200.0,Entire home/apt,4.96
Spacious Garden Suite in Character Home,https://www.airbnb.com/rooms/7679929,"Vancouver, British Columbia, Canada",49.26023,-123.08671,175.0,Entire home/apt,4.83
Japanese Style One Bedroom Suite,https://www.airbnb.com/rooms/7696149,"Vancouver, British Columbia, Canada",49.22239,-123.03277,198.0,Entire home/apt,4.88
Townhouse w/ private ROOFTOP PATIO (and parking),https://www.airbnb.com/rooms/7716459,"Vancouver, British Columbia, Canada",49.28062,-123.10494,200.0,Entire home/apt,4.86
Spacious 1 bed/2 bath apt downtown,https://www.airbnb.com/rooms/7749728,"Vancouver, British Columbia, Canada",49.27667,-123.12752,150.0,Entire home/apt,5.0
Bright and cozy Railtown Sanctuary,https://www.airbnb.com/rooms/7804061,"Vancouver, British Columbia, Canada",49.28253,-123.0918,134.0,Entire home/apt,4.87
One Bedroom Apartment,https://www.airbnb.com/rooms/7812180,"Vancouver, British Columbia, Canada",49.26443,-123.09925,198.0,Entire home/apt,4.63
Open Concept Gastown Studio,https://www.airbnb.com/rooms/7838721,"Vancouver, British Columbia, Canada",49.27991,-123.1054,155.0,Entire home/apt,4.67
New Private 2 BR+Bath near Skytrain,https://www.airbnb.com/rooms/7860380,,49.21285,-123.11361,148.0,Entire home/apt,4.82
2 Bedroom Penthouse,https://www.airbnb.com/rooms/7917938,"Vancouver, British Columbia, Canada",49.27783,-123.11536,170.0,Entire home/apt,5.0
"Nice apartment, middle of Vancouver",https://www.airbnb.com/rooms/7931005,,49.26339,-123.08925,110.0,Entire home/apt,4.73
One Bdrm Heart of Downtown!,https://www.airbnb.com/rooms/7934230,"Vancouver, British Columbia, Canada",49.27669,-123.12913,125.0,Entire home/apt,4.45
Live the Penthouse Life!,https://www.airbnb.com/rooms/7936342,"Vancouver, British Columbia, Canada",49.27862,-123.09962,160.0,Entire home/apt,4.93
