,name,Longitude,Latitude
245,Eastbound W 41 Ave @ Collingwood St,-123.181639,49.234687
246,Eastbound W 41 Ave @ Blenheim St,-123.178303,49.234696
247,Eastbound W 41 Ave @ Carnarvon St,-123.172505,49.234677
248,Eastbound W 41 Ave @ Macdonald St,-123.166968,49.234665
249,Eastbound W 41 Ave @ Elm St,-123.16364,49.234632
250,Eastbound W 41 Ave @ Balsam St,-123.160946,49.234588
251,Eastbound W 41 Ave @ Yew St,-123.158131,49.234552
252,Eastbound W 41 Ave @ Maple St,-123.151616,49.234437
253,Eastbound W 41 Ave @ Cypress St,-123.148854,49.234394
254,Eastbound W 41 Ave @ Wiltshire St,-123.145952,49.234351
255,Eastbound W 41 Ave @ Adera St,-123.142893,49.2343
256,Eastbound W 41 Ave @ Granville St,-123.140768,49.234268
257,Eastbound W 4th Ave @ Collingwood St,-123.181214,49.268471
258,Eastbound W 4th Ave @ Macdonald St,-123.167779,49.268274
259,Eastbound W 4th Ave @ Trafalgar St,-123.164123,49.268236
260,Eastbound W 4th Ave @ Vine St,-123.156884,49.268115
261,Eastbound W 4th Ave @ Arbutus St,-123.152371,49.268041
262,Eastbound W 4th Ave @ Burrard St,-123.145082,49.26793
263,Eastbound W 4th Ave @ Fir St,-123.140145,49.267853
264,Westbound W 5th Ave @ Granville St,-123.137905,49.266843
265,Burrard Station @ Bay 2,-123.12037,49.286035
266,Eastbound W Pender St @ Thurlow St,-123.119204,49.287073
267,Northbound Homer St @ W Pender St,-123.111441,49.282981
268,Northbound Seymour St @ W Hastings St,-123.112535,49.28481
269,Southbound Cambie St @ W Hastings St,-123.109799,49.282211
270,Eastbound Nelson St @ Cambie St,-123.117719,49.275788
271,Southbound Cambie St @ W 7th Ave,-123.114982,49.264477
272,Southbound Cambie St @ W 12 Ave,-123.115144,49.260113
273,Southbound Cambie St @ W 16 Ave,-123.115252,49.256555
274,Southbound Cambie St @ W 18 Ave,-123.115282,49.254674
275,Southbound Cambie St @ W 20 Ave,-123.115379,49.252766
276,Southbound Cambie St @ W 22 Ave,-123.115447,49.250985
277,King Edward Station @ Bay 4,-123.115722,49.248634
278,Southbound Cambie St @ W 31 Ave,-123.118428,49.242949
279,Southbound Cambie St @ W 33 Ave,-123.118651,49.24075
280,Southbound Cambie St @ W 35 Ave,-123.116678,49.238762
281,Southbound Cambie St @ W 37 Ave,-123.11629,49.237007
282,Eastbound E Cordova St @ Main St,-123.098943,49.282203
283,Eastbound E Cordova St @ Dunlevy Ave,-123.094846,49.282136
284,Eastbound E Cordova St @ Princess Ave,-123.091063,49.282067
285,Eastbound Powell St @ Glen Dr,-123.081697,49.282672
286,Eastbound Powell St @ Clark Dr,-123.076625,49.283029
287,Eastbound Powell St @ Commercial Dr,-123.069837,49.283885
288,Eastbound Powell St @ Victoria Dr,-123.065065,49.284771
289,Eastbound Dundas St @ Lakewood Dr,-123.061245,49.284754
290,Eastbound Dundas St @ Templeton Dr,-123.059274,49.284738
291,Northbound N Nanaimo St @ Dundas St,-123.05639,49.285176
292,Northbound N Nanaimo St @ Eton St,-123.056367,49.288013
293,Eastbound McGill St @ N Penticton St,-123.051421,49.288627
294,Eastbound McGill St @ N Slocan St,-123.048823,49.288617
295,Westbound Eton St @ N Renfrew St,-123.044683,49.287774
296,Eastbound McGill St @ N Renfrew St,-123.0434,49.288595
297,Westbound McGill St @ N Renfrew St,-123.044601,49.288825
298,Northbound Oak St @ W 38 Ave,-123.12785,49.237021
299,Northbound Oak St @ W 33 Ave,-123.12769,49.241748
300,Northbound Oak St @ Devonshire Cres,-123.127493,49.244894
301,Northbound Oak St @ W 27 Ave,-123.12749,49.247506
302,Northbound Oak St @ W King Edward Ave,-123.127357,49.249632
303,Northbound Oak St @ W 22 Ave,-123.127311,49.251967
304,Northbound Oak St @ W 20 Ave,-123.127236,49.253935
305,Northbound Oak St @ W 17 Ave,-123.127109,49.256575
306,Westbound W Broadway @ Spruce St,-123.129369,49.26354
307,Westbound W Broadway @ Alder St,-123.131742,49.263576
308,Oakridge-41st Ave Station @ Bay 6,-123.115953,49.233905
309,Northbound Cambie St @ W 37 Ave,-123.1158,49.237495
310,Northbound Cambie St @ W 33 Ave,-123.11818,49.241409
311,King Edward Station @ Bay 2,-123.115245,49.249415
312,Northbound Cambie St @ W 22 Ave,-123.115164,49.251472
313,Northbound Cambie St @ W 20 Ave,-123.115102,49.253243
314,Northbound Cambie St @ W 18 Ave,-123.115019,49.255125
315,Northbound Cambie St @ W 16 Ave,-123.114908,49.257158
316,Northbound Cambie St @ W 14 Ave,-123.114893,49.258988
317,Northbound Cambie St @ W 12 Ave,-123.114831,49.260758
318,Northbound Cambie St @ W 7th Ave,-123.114622,49.264648
319,Westbound McGill St @ N Kaslo St,-123.047415,49.28882
320,Westbound McGill St @ N Penticton St,-123.052418,49.288801
