name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating,point
"Spacious Two-Level Penthouse, heated pool & gym",https://www.airbnb.com/rooms/51278041,"Vancouver, British Columbia, Canada",49.27897,-123.12714,1000.0,Entire home/apt,,POINT (-123.12714 49.27897)
Beautiful one-bedroom townhouse by the beach,https://www.airbnb.com/rooms/51283048,"Vancouver, British Columbia, Canada",49.27086,-123.18188,133.0,Entire home/apt,5.0,POINT (-123.18188 49.27086)
Sub-penthouse 1+den Amazing building and location.,https://www.airbnb.com/rooms/51289339,"Vancouver, British Columbia, Canada",49.24014,-123.05817,97.0,Entire home/apt,4.75,POINT (-123.05817 49.24014)
A cozy room in central Vancouver/ YVR/Bus/- E,https://www.airbnb.com/rooms/51301836,"Vancouver, British Columbia, Canada",49.22437,-123.14939,57.0,Private room,5.0,POINT (-123.14939 49.22437)
Vancouver Urban Condo - private bedroom + parking,https://www.airbnb.com/rooms/51305254,,49.2631,-123.0998,42.0,Private room,5.0,POINT (-123.0998 49.2631)
"Stunning Lux 2-Level Penthouse, Patios, Hot Tub",https://www.airbnb.com/rooms/51314288,"Vancouver, British Columbia, Canada",49.28023,-123.10671,550.0,Entire home/apt,4.8,POINT (-123.10671 49.28023)
"NEW, clean, modern, private basement suite",https://www.airbnb.com/rooms/51320938,"Vancouver, British Columbia, Canada",49.25369,-123.09964,150.0,Entire home/apt,4.93,POINT (-123.09964 49.25369)
*1BR* Beautiful False Creek Water & City Views,https://www.airbnb.com/rooms/51324665,,49.27997,-123.10719,249.0,Entire home/apt,4.71,POINT (-123.10719 49.27997)
2 bedroom Basement Suite in Fraserview (Sleeps 6),https://www.airbnb.com/rooms/51325905,,49.21647,-123.06073,123.0,Entire home/apt,4.27,POINT (-123.06073 49.21647)
Free Parking Queen Designer Room Suite w/ Backyard,https://www.airbnb.com/rooms/51332785,"Burnaby, British Columbia, Canada",49.24505,-123.01116,108.0,Entire home/apt,4.75,POINT (-123.01116 49.24505)
AC Lux Yaletown 3 Bedroom/Best location/3min Beach,https://www.airbnb.com/rooms/51333015,"Vancouver, British Columbia, Canada",49.27314,-123.12782,157.0,Entire home/apt,4.73,POINT (-123.12782 49.27314)
MODERN & SPACIOUS 3 BR LOFT IN CENTRAL DOWNTOWN,https://www.airbnb.com/rooms/51346182,"Vancouver, British Columbia, Canada",49.27923,-123.10773,370.0,Entire home/apt,4.74,POINT (-123.10773 49.27923)
Luxury West End TH • Private Rooftop • AC • Parkin,https://www.airbnb.com/rooms/51353091,"Vancouver, British Columbia, Canada",49.28842,-123.13156,456.0,Entire home/apt,4.65,POINT (-123.13156 49.28842)
"1 BR in the Heart of Downtown: Parking, Pool & Gym",https://www.airbnb.com/rooms/51362825,"Vancouver, British Columbia, Canada",49.27928,-123.10643,250.0,Entire home/apt,4.91,POINT (-123.10643 49.27928)
Bright One-Bedroom + Parking in heart of Core,https://www.airbnb.com/rooms/51365809,"Vancouver, British Columbia, Canada",49.28052,-123.12454,248.0,Entire home/apt,4.98,POINT (-123.12454 49.28052)
GREAT LOCATION IN COAL HARBOUR!RENOVATED!FREE PRKG,https://www.airbnb.com/rooms/51366458,"Vancouver, British Columbia, Canada",49.287464,-123.123779,247.0,Entire home/apt,4.86,POINT (-123.123779 49.287464)
Yaletown Downtown 1BR at The Rosedale on Robson,https://www.airbnb.com/rooms/51369107,"Vancouver, British Columbia, Canada",49.278324,-123.116196,261.0,Entire home/apt,,POINT (-123.116196 49.278324)
"Large 4 bedroom , 1 bathroom Upper Suite",https://www.airbnb.com/rooms/51379204,"Vancouver, British Columbia, Canada",49.233,-123.09747,251.0,Entire home/apt,4.75,POINT (-123.09747 49.233)
Unreal Mountain&Oceanviews- Strathcona-2beds/1bath,https://www.airbnb.com/rooms/51385923,,49.28217795664162,-123.08393608778717,217.0,Entire home/apt,4.74,POINT (-123.08393608778717 49.28217795664162)
[30Days+] Capricorn Palace in yaletown #5,https://www.airbnb.com/rooms/51388855,,49.2759,-123.11432,334.0,Entire home/apt,4.76,POINT (-123.11432 49.2759)
Kits Guest Suite close to UBC and Beach,https://www.airbnb.com/rooms/51392426,,49.26419,-123.1832,220.0,Entire home/apt,4.92,POINT (-123.1832 49.26419)
Stunning views from Every Room - Sleeps 8,https://www.airbnb.com/rooms/51393995,,49.27786,-123.10715,582.0,Entire home/apt,4.71,POINT (-123.10715 49.27786)
Stunning Downtown 1 Bed w Ac & Gym,https://www.airbnb.com/rooms/51425996,,49.2823,-123.12447,127.0,Entire home/apt,5.0,POINT (-123.12447 49.2823)
Million Dollar View Waterfront 4 Bedroom Villa,https://www.airbnb.com/rooms/51427809,,49.27318,-123.18118,1086.0,Entire home/apt,,POINT (-123.18118 49.27318)
