,stop_no,stop_name,line_con,Longitude,Latitude
396,50602,Westbound University Blvd @ 5100 Block,004; 009; 014; N17,-123.229837,49.263693
397,50603,Westbound University Blvd @ 5300 Block,004; 009; 014; N17,-123.235541,49.265815
398,50604,Westbound University Blvd @ Acadia Rd,004; 009; 014; 044; 084; N17,-123.239311,49.267024
399,50607,Westbound Davie St @ Denman St,005; 006,-123.141411,49.287084
400,50610,Northbound Denman St @ Haro St,005,-123.136163,49.290911
401,50611,Eastbound Robson St @ Bidwell St,005,-123.133644,49.29023
402,50614,Eastbound Robson St @ Bute St,005,-123.126771,49.285774
403,50621,Southbound Cambie St @ W 41 Ave,015; N15,-123.116425,49.234
404,50622,Westbound Robson St @ Hamilton St,017; N15,-123.116259,49.279145
405,50624,Westbound Robson St @ Burrard St,005,-123.123086,49.283556
406,50626,Westbound Robson St @ Bute St,005,-123.127216,49.286249
407,50627,Westbound Robson St @ Broughton St,005,-123.130152,49.288152
408,50628,Westbound Robson St @ Cardero St,005,-123.132542,49.289693
409,50629,Southbound Denman St @ Robson St,005,-123.135926,49.29124
410,50630,Southbound Denman St @ Barclay St,005,-123.137908,49.289924
411,50631,Southbound Denman St @ Comox St,005,-123.140021,49.288522
412,50632,Southbound Denman St @ Pendrell St,005,-123.141166,49.287773
413,50633,Eastbound Davie St @ Denman St,005; 006,-123.141124,49.286705
414,50634,Eastbound Davie St @ Cardero St,006,-123.13847,49.285009
415,50635,Eastbound Davie St @ Nicola St,006,-123.13726,49.284219
416,50636,Eastbound Davie St @ Jervis St,006,-123.13477,49.282579
417,50637,Eastbound Davie St @ Bute St,006,-123.132973,49.28144
418,50638,Eastbound Davie St @ Thurlow St,006,-123.13096,49.280147
419,50640,Dunbar Loop @ Bay 2,002; 007; 049; N22,-123.18575,49.234593
420,50642,Eastbound E 41 Ave @ Sophia St,041,-123.098854,49.232934
421,50643,Eastbound E 41 Ave @ St. George St,041,-123.094138,49.23287
422,50644,Eastbound E 41 Ave @ Fraser St,041,-123.090022,49.232769
423,50645,Eastbound E 41 Ave @ Prince Albert St,041,-123.087361,49.232764
424,50646,Eastbound E 41 Ave @ Windsor St,041,-123.08434,49.232721
425,50647,Eastbound E 41 Ave @ Sherbrooke St,041,-123.080668,49.232677
426,50649,Eastbound E 41 Ave @ Knight St,041; R4,-123.076419,49.232598
427,50650,Eastbound E 41 Ave @ Fleming St,041,-123.072487,49.23257
428,50651,Eastbound E 41 Ave @ Bruce St,020; 041,-123.069616,49.232543
429,50652,Northbound Victoria Dr @ E 41 Ave,020; N20,-123.065403,49.233152
430,50653,Northbound Victoria Dr @ E 39 Ave,020; N20,-123.065348,49.234784
431,50654,Northbound Victoria Dr @ E 38 Ave,020; N20,-123.065307,49.236203
432,50655,Northbound Victoria Dr @ E 36 Ave,020; N20,-123.065288,49.237698
433,50656,Northbound Victoria Dr @ E 33 Ave,020; N20,-123.065188,49.24032
434,50657,Northbound Victoria Dr @ E 32 Ave,020; N20,-123.065138,49.241893
