,name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating,entertainment,food,leisure,transportation,shop,tourism
3190,Sweet room with shared bathroom near UBC,https://www.airbnb.com/rooms/48020474,"Vancouver, British Columbia, Canada",49.262608,-123.203552,116.0,Private room,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3191,"The Artists' Studio, West End",https://www.airbnb.com/rooms/48029958,,49.28519,-123.12985,225.0,Entire home/apt,0.9800000000000001,0.0,0.018606384468877333,0.0,0.0004579521719219471,0.011669900403085855,0.0
3192,Cheerful 2-Bedroom Basement in Vancouver,https://www.airbnb.com/rooms/48030531,"Vancouver, British Columbia, Canada",49.21604,-123.07046,160.0,Entire home/apt,,0.0,0.0,0.0,0.0,0.0,0.0
3193,$89 -Private bed bath shower near bus stop airport,https://www.airbnb.com/rooms/48070793,"Vancouver, British Columbia, Canada",49.22067,-123.13884,92.0,Private room,0.944,0.0,0.0,0.0,0.0,0.0,0.0
3194,Character suite with sunny 10x20 deck,https://www.airbnb.com/rooms/48078844,,49.26325,-123.14771,195.0,Entire home/apt,,0.0,0.0,0.0,0.0,0.0,0.0
3195,"Waterfront home on sea wall, expansive ocean view",https://www.airbnb.com/rooms/48082323,"Vancouver, British Columbia, Canada",49.26698,-123.12909,2684.0,Entire home/apt,0.9880000000000001,0.0,0.0,0.0,0.00011169565168827978,0.0,0.0
3196,LARGE PATIO - modern work from home 2 bedroom home,https://www.airbnb.com/rooms/48083270,"Vancouver, British Columbia, Canada",49.26573,-123.09855,217.0,Entire home/apt,0.9800000000000001,0.0,0.0,0.0,0.008656413005841683,0.0,0.8264264264264264
3197,1170 Barclay Street - Penthouse 1 bedroom,https://www.airbnb.com/rooms/48086824,"Vancouver, British Columbia, Canada",49.28406,-123.12878,125.0,Entire home/apt,,0.0,0.023631817393067776,0.0,0.0008042086921556143,0.06947967866928834,0.0
3198,1170 Barclay Street - Brand new 1 bedroom,https://www.airbnb.com/rooms/48087075,"Vancouver, British Columbia, Canada",49.28406,-123.12878,140.0,Entire home/apt,0.4,0.0,0.023631817393067776,0.0,0.0008042086921556143,0.06947967866928834,0.0
3199,1170 Barclay Street - Studio - Downtown Vancouver,https://www.airbnb.com/rooms/48087568,"Vancouver, British Columbia, Canada",49.28406,-123.12878,133.0,Entire home/apt,1.0,0.0,0.023631817393067776,0.0,0.0008042086921556143,0.06947967866928834,0.0
3200,Modern Studio on the edge of Downtown/Chinatown,https://www.airbnb.com/rooms/48090976,"Vancouver, British Columbia, Canada",49.28018,-123.09981,73.0,Entire home/apt,,0.0,0.004337604559319447,0.008849557522123894,0.08868634744049414,0.0,0.0
3201,Private room with shared bathroom near UBC,https://www.airbnb.com/rooms/48093848,"Vancouver, British Columbia, Canada",49.26171,-123.20461,181.0,Private room,0.952,0.0,0.0,0.0,0.0,0.0,0.0
3202,"Spacious 2 Bedroom 2 Bathroom, quiet corner unit",https://www.airbnb.com/rooms/48096018,"Vancouver, British Columbia, Canada",49.28822,-123.12637,400.0,Entire home/apt,0.95,0.0,0.0897495802992576,0.0,0.013626869505970132,0.020353437772046373,0.0
3203,Luxury 2 Bedrooms / 2 Bathrooms - Downtown Van.,https://www.airbnb.com/rooms/48096556,"Vancouver, British Columbia, Canada",49.28406,-123.12878,165.0,Entire home/apt,0.9,0.0,0.023631817393067776,0.0,0.0008042086921556143,0.06947967866928834,0.0
3204,1170 Barclay Street - Brand new 1 bedroom,https://www.airbnb.com/rooms/48097994,"Vancouver, British Columbia, Canada",49.28406,-123.12878,127.0,Entire home/apt,,0.0,0.023631817393067776,0.0,0.0008042086921556143,0.06947967866928834,0.0
